image_id,boarded_windows,broken_windows,damaged_roof_shingles,deteriorating_chimney,graffiti,inoperable_vehicle,junk_trash_accumulation,overgrown_vegetation,peeling_paint
img_000,1,1,0,0,0,0,0,1,1
img_001,1,0,0,0,0,0,1,1,1
img_002,1,1,0,0,0,0,0,0,1
img_003,1,0,0,0,0,0,0,1,0
img_004,1,0,1,0,0,0,0,1,1
img_005,1,1,0,0,0,0,1,1,1
img_006,1,1,0,0,0,0,1,1,1
img_007,1,0,0,0,0,0,0,0,1
img_008,0,1,0,0,0,0,0,0,0
img_009,0,1,0,0,0,0,0,0,1
img_010,0,1,0,0,0,0,0,0,0
img_011,0,1,0,0,0,0,0,0,1
img_012,0,1,0,0,0,0,0,0,1
img_013,0,1,0,0,0,0,0,0,1
img_014,0,1,0,0,0,0,0,0,1
img_015,0,1,0,0,0,0,0,0,1
img_016,1,1,0,0,0,0,0,0,1
img_017,0,1,1,1,0,0,1,0,1
img_018,0,1,0,0,0,0,0,0,1
img_019,0,1,0,0,0,0,0,0,1
img_020,0,0,1,0,0,0,0,0,1
img_021,0,1,1,0,1,0,0,1,1
img_022,0,1,1,0,0,0,0,0,1
img_023,0,0,1,0,0,0,0,0,1
img_024,1,0,1,1,1,0,0,1,0
img_025,0,1,1,1,1,0,0,1,1
img_026,0,0,1,0,0,0,0,1,1
img_027,0,0,0,0,0,0,0,1,1
img_028,0,0,1,0,0,0,0,1,0
img_029,0,0,0,1,0,0,0,1,1
img_030,0,1,0,0,1,0,0,0,0
img_031,0,0,0,0,1,0,0,0,0
img_032,0,0,0,0,1,0,0,1,1
img_033,0,0,0,0,1,0,0,0,0
img_034,0,0,0,0,1,0,0,0,0
img_035,1,0,0,0,1,0,0,0,1
img_036,0,0,0,0,1,0,0,1,0
img_037,0,0,0,0,1,0,0,1,1
img_038,0,1,1,0,1,0,0,1,1
img_039,0,0,0,0,1,0,0,0,1
img_040,0,0,0,0,1,0,0,0,0
img_041,0,1,1,1,1,0,0,1,1
img_042,0,0,0,0,0,1,1,1,1
img_043,0,1,1,1,0,1,1,1,1
img_044,0,0,0,0,0,1,1,1,1
img_045,0,0,0,0,0,1,0,1,0
img_046,0,0,0,0,0,1,0,1,1
img_047,0,0,0,0,0,1,0,1,1
img_048,0,0,0,0,0,1,0,1,1
img_049,0,0,0,0,0,1,0,1,0
img_050,0,1,0,0,0,1,0,1,1
img_051,0,1,0,0,0,1,0,1,1
img_052,0,1,0,0,0,1,0,1,1
img_053,0,1,0,0,0,1,0,0,1
img_054,0,1,0,0,0,1,1,1,1
img_055,0,0,1,0,0,1,0,1,1
img_056,0,0,0,0,0,0,1,1,1
img_057,1,0,1,0,0,0,1,1,1
img_058,0,0,0,0,0,0,1,0,0
img_059,1,0,1,0,0,0,1,0,1
img_060,0,0,0,0,0,0,1,1,0
img_061,0,0,0,0,0,0,1,1,1
img_062,0,0,0,0,0,0,1,1,1
img_063,0,0,0,0,0,0,1,0,0
img_064,0,0,0,0,0,0,1,0,0
img_065,0,0,0,0,0,0,1,0,1
img_066,0,0,0,0,0,0,1,0,0
img_067,0,1,1,0,0,0,1,1,1
img_068,0,0,0,0,0,1,1,0,0
img_069,0,0,0,0,0,1,0,1,0
img_070,0,0,0,0,0,0,1,1,0
img_071,0,1,0,0,1,0,1,1,1
img_072,0,0,0,0,0,1,0,1,0
img_073,0,1,1,0,1,0,0,1,1
img_074,1,0,1,0,0,0,0,1,1
img_075,0,0,0,0,0,1,0,1,1
img_076,0,0,0,0,0,1,0,1,0
img_077,0,0,0,0,0,1,0,1,1
img_078,0,0,0,0,0,1,0,1,1
img_079,0,0,0,0,0,1,0,1,0
img_080,0,0,0,0,0,0,0,1,0
img_081,0,0,0,0,0,0,0,1,1
img_082,0,0,0,0,0,1,0,1,1
img_083,0,0,0,0,0,0,0,0,1
img_084,0,0,0,0,0,0,0,1,1
img_085,0,0,0,0,0,0,0,0,1
img_086,0,1,0,0,0,0,0,0,1
img_087,0,0,0,0,0,0,0,0,1
img_088,0,0,0,0,0,0,0,0,1
img_089,1,1,1,1,0,1,1,0,1
img_090,0,0,0,0,0,0,0,0,1
img_091,1,1,0,0,0,0,1,1,1
img_092,0,0,0,0,0,0,0,1,1
img_093,0,1,1,0,0,0,0,1,1
img_094,0,1,0,0,0,0,0,0,1
img_095,0,0,0,0,0,0,0,1,1
img_096,0,0,0,0,0,0,0,0,1
img_097,0,1,0,0,0,0,0,0,1
