image_id,Fechi__boarded_windows,Fechi__broken_windows,Fechi__damaged_roof_shingles,Fechi__deteriorating_chimney,Fechi__graffiti,Fechi__inoperable_vehicle,Fechi__junk_trash_accumulation,Fechi__overgrown_vegetation,Fechi__peeling_paint,Niping__boarded_windows,Niping__broken_windows,Niping__damaged_roof_shingles,Niping__deteriorating_chimney,Niping__graffiti,Niping__inoperable_vehicle,Niping__junk_trash_accumulation,Niping__overgrown_vegetation,Niping__peeling_paint,Jake__boarded_windows,Jake__broken_windows,Jake__damaged_roof_shingles,Jake__deteriorating_chimney,Jake__graffiti,Jake__inoperable_vehicle,Jake__junk_trash_accumulation,Jake__overgrown_vegetation,Jake__peeling_paint
img_000,1,1,-1,-1,0,0,0,1,1,1,0,-1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0
img_001,1,0,-1,-1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,-1,0,0,0,0,1,0,1
img_002,1,0,-1,-1,0,0,0,0,1,1,1,-1,-1,0,0,0,-1,1,1,1,0,0,0,0,0,0,1
img_003,1,0,0,-1,0,0,0,1,1,1,0,-1,-1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
img_004,1,0,1,0,0,0,0,1,1,1,-1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1
img_005,1,1,1,0,0,0,1,1,1,1,0,-1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1
img_006,1,1,1,0,0,0,1,1,1,1,1,0,-1,0,0,1,1,1,1,1,0,0,0,0,1,1,1
img_007,1,0,0,0,0,0,0,0,1,1,-1,-1,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
img_008,0,1,0,-1,0,0,0,0,0,0,1,-1,-1,0,0,-1,-1,1,0,1,0,0,0,0,0,0,0
img_009,0,1,0,-1,-1,-1,-1,-1,1,0,1,-1,-1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
img_010,0,1,0,-1,-1,-1,-1,-1,-1,0,1,-1,-1,0,0,-1,-1,-1,0,1,0,0,0,0,0,0,0
img_011,0,1,0,-1,-1,-1,-1,-1,1,0,1,-1,-1,0,0,-1,-1,1,0,1,0,0,0,0,0,0,1
img_012,0,1,0,-1,-1,-1,-1,-1,1,0,1,-1,-1,0,0,-1,-1,1,0,1,0,0,0,0,0,0,1
img_013,0,1,0,-1,-1,-1,-1,-1,1,0,1,-1,-1,0,0,-1,-1,-1,0,1,0,0,0,0,0,0,1
img_014,0,1,-1,-1,-1,-1,-1,-1,1,0,1,-1,-1,0,0,-1,-1,1,0,1,0,0,0,0,0,0,1
img_015,0,1,-1,-1,-1,-1,-1,-1,1,0,1,-1,-1,0,0,-1,-1,1,0,1,0,0,1,0,0,0,0
img_016,1,1,-1,-1,-1,-1,-1,-1,1,0,1,-1,-1,0,0,-1,-1,1,1,1,0,0,0,0,0,0,1
img_017,0,0,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1
img_018,0,1,-1,-1,-1,-1,-1,-1,1,0,1,-1,-1,0,0,-1,-1,1,0,1,0,0,0,0,0,0,0
img_019,0,1,-1,-1,-1,-1,-1,-1,1,0,1,-1,-1,0,0,-1,-1,1,0,1,0,0,0,0,0,0,1
img_020,0,-1,1,-1,0,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,1
img_021,1,1,1,1,1,1,1,1,1,0,1,1,-1,1,0,-1,1,1,0,1,1,0,1,0,0,1,0
img_022,0,1,1,-1,-1,-1,-1,-1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1
img_023,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,1
img_024,1,-1,1,1,1,-1,-1,1,1,-1,-1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0
img_025,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0
img_026,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0
img_027,-1,-1,-1,-1,0,-1,-1,-1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
img_028,-1,-1,1,-1,0,-1,-1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0
img_029,-1,0,1,1,0,-1,-1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
img_030,1,1,-1,-1,1,-1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
img_031,-1,-1,-1,-1,1,-1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
img_032,-1,-1,1,-1,1,-1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0
img_033,-1,-1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
img_034,0,0,1,-1,1,-1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
img_035,1,1,-1,-1,1,-1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
img_036,0,0,-1,-1,1,-1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
img_037,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0
img_038,1,1,1,-1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0
img_039,0,0,0,0,1,-1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
img_040,0,0,-1,-1,1,-1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
img_041,0,1,1,1,1,-1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1
img_042,0,0,0,-1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0
img_043,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0
img_044,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0
img_045,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
img_046,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0
img_047,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0
img_048,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0
img_049,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0
img_050,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0
img_051,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0
img_052,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0
